shot_dist_bins,shots_made,shots_counts,shots_accuracy,avg_dist,shot_type
0 to 1 ft,3126,3818,0.818753274,0.5,twos
1 to 2 ft,21457,29816,0.719647169,1.5,twos
10 to 11 ft,1500,3684,0.407166124,10.5,twos
11 to 12 ft,1542,3612,0.426910299,11.5,twos
12 to 13 ft,1499,3620,0.414088398,12.5,twos
13 to 14 ft,1476,3542,0.416713721,13.5,twos
14 to 15 ft,1351,3296,0.409890777,14.5,twos
15 to 16 ft,1379,3375,0.408592593,15.5,twos
16 to 17 ft,1466,3604,0.406770255,16.5,twos
17 to 18 ft,1505,3584,0.419921875,17.5,twos
18 to 19 ft,1453,3550,0.409295775,18.5,twos
19 to 20 ft,1468,3499,0.419548442,19.5,twos
2 to 3 ft,14211,23481,0.605212725,2.5,twos
20 to 21 ft,1260,3170,0.397476341,20.5,twos
21 to 22 ft,876,2301,0.380704042,21.5,twos
22 to 23 ft,1079,2909,0.370917841,22.5,mixed
23 to 24 ft,4342,11408,0.380610098,23.5,mixed
24 to 25 ft,3021,8029,0.376261054,24.5,threes
25 to 26 ft,7576,21500,0.352372093,25.5,threes
26 to 27 ft,7321,20579,0.355751008,26.5,threes
27 to 28 ft,3187,9176,0.347319093,27.5,threes
28 to 29 ft,1257,3704,0.339362851,28.5,threes
29 to 30 ft,428,1390,0.307913669,29.5,threes
3 to 4 ft,5249,11526,0.455405171,3.5,twos
30 to 31 ft,202,621,0.325281804,30.5,threes
31 to 32 ft,79,280,0.282142857,31.5,threes
4 to 5 ft,2584,6637,0.38933253,4.5,twos
5 to 6 ft,1913,4994,0.383059672,5.5,twos
6 to 7 ft,1960,4959,0.395240976,6.5,twos
7 to 8 ft,1794,4484,0.400089206,7.5,twos
8 to 9 ft,1622,4056,0.399901381,8.5,twos
9 to 10 ft,1521,3720,0.408870968,9.5,twos
